image_name,mos
10004473376.jpg,3.82857142857143
10007357496.jpg,3.47916666666667
10007903636.jpg,3.78125
10009096245.jpg,3.92660550458716
100117038.jpg,3.83
10012398043.jpg,3.33980582524272
10013822223.jpg,3.58181818181818
10014002683.jpg,3.4811320754717
10017119924.jpg,3.42342342342342
10020766793.jpg,4.08256880733945
10020891105.jpg,3.13725490196078
10022757465.jpg,3.67619047619048
10022844623.jpg,3.2843137254902
10027545463.jpg,3.74509803921569
10027582235.jpg,3.82242990654206
10029841663.jpg,3.46268656716418
10031298826.jpg,2.87704918032787
10031913154.jpg,3.48507462686567
10039534103.jpg,3.69158878504673
10041870415.jpg,3.45192307692308
10043785683.jpg,3.56603773584906
10047832035.jpg,3.65346534653465
10048365153.jpg,3.07920792079208
10050349236.jpg,2.20588235294118
10058760545.jpg,1.62
10059344614.jpg,3.5
10061596254.jpg,3.1588785046729
10067457634.jpg,3.92660550458716
10068507976.jpg,3.1
10068778516.jpg,3.68421052631579
10069534975.jpg,3.67592592592593
10071864114.jpg,3.74107142857143
10075168775.jpg,3.72277227722772
10077468576.jpg,3.66037735849057
10077880165.jpg,2.19444444444444
10079711433.jpg,3.12878787878788
10082923485.jpg,2.95192307692308
10086300493.jpg,3.51456310679612
100882570.jpg,3.41414141414141
10089027076.jpg,1.87037037037037
10089177336.jpg,3.73267326732673
10091520555.jpg,2.30188679245283
10093057603.jpg,3.38235294117647
10094235786.jpg,3.27
10110458216.jpg,3.37
10111411235.jpg,1.69911504424779
10113730664.jpg,3.47286821705426
10115071674.jpg,3.73394495412844
10118773964.jpg,3.03960396039604
10121813934.jpg,3.35238095238095
10125013364.jpg,2.19083969465649
10126177964.jpg,3.59633027522936
10126857344.jpg,3.51754385964912
10130566006.jpg,3.68867924528302
10131980434.jpg,3.19259259259259
10133867305.jpg,3.19047619047619
10134737015.jpg,3.00934579439252
10140071304.jpg,3.27184466019417
10147970884.jpg,3.81081081081081
10153847086.jpg,3.1651376146789
10154367094.jpg,3.58119658119658
10154991453.jpg,3.57142857142857
10155925686.jpg,2.97087378640777
101601008.jpg,3.32
10164654253.jpg,2.97
10164842933.jpg,3.83185840707965
10169304416.jpg,3.97142857142857
10173544123.jpg,3.34351145038168
10177270623.jpg,3.30392156862745
10177793964.jpg,3.4020618556701
10178112894.jpg,2.5377358490566
10178183416.jpg,3.74766355140187
10178914656.jpg,3.50943396226415
10183769356.jpg,3.6
10186643874.jpg,2.88095238095238
10186680555.jpg,3.06730769230769
10186832194.jpg,3.1980198019802
10187102065.jpg,2.4392523364486
10187522803.jpg,3.5
10191607755.jpg,4.0
10196228605.jpg,3.33333333333333
10203647273.jpg,3.7196261682243
10205220286.jpg,2.10377358490566
10206674394.jpg,3.88
10207172624.jpg,3.40594059405941
10209014225.jpg,3.36538461538462
10209917915.jpg,2.75490196078431
10211880874.jpg,2.30841121495327
10213881683.jpg,2.375
10218118033.jpg,3.79439252336449
10221144393.jpg,1.68181818181818
10224586444.jpg,2.46078431372549
10226277514.jpg,2.59433962264151
10226524916.jpg,1.82242990654206
10227210045.jpg,3.45631067961165
10241630856.jpg,3.33962264150943
10241895785.jpg,3.57281553398058
10244314384.jpg,2.77669902912621
10244715656.jpg,2.95412844036697
10246311914.jpg,3.85046728971963
10246318724.jpg,3.82075471698113
10258169584.jpg,3.14285714285714
10260190424.jpg,3.50925925925926
1026198859.jpg,3.58653846153846
10262588616.jpg,3.25
10264804094.jpg,3.72641509433962
10264984793.jpg,3.4950495049505
10265315316.jpg,3.31372549019608
10265809113.jpg,3.66990291262136
10273804555.jpg,3.50961538461538
10278246465.jpg,3.53488372093023
